name,phone,address,no_address,days,hours,general_topic,tags,city,state,zip_code,web_site,notes
COPE Community Services,15205845820,8050 E Lakeside Pkwy,0,"M, T, W, Th, F, Sat ","M, T, W, Th, F: 8:00 am - 5:00 pm; Sat: 9:00 am - 1:00 pm",Mental Health,,Tucson,AZ,85730,http://www.copecommunityservices.org/,
"COPE Community Services, Inc.",15204983900,5840 N La Cholla Blvd,0,"M, T, W, Th, F",8:00 am - 5:00 pm,Mental Health,,Tucson,AZ,85741,http://www.copecommunityservices.org/,
"La Frontera Center, Inc.",15208825145,3620 N Mountain Ave,0,"M, T, W, Th, F ",8:00 am - 5:00 pm,Mental Health,,Tucson,AZ,85719,http://lafronteraaz.org/,
La Frontera Center,15202068600,1141 W Grant Rd #100,0,,,Mental Health,,Tucson,AZ,85705,http://lafronteraaz.org/,
La Frontera Center East Clinic,15202963296,4891 E Grant Rd,0,"M, T, W, Th, F ",8:00 am - 5:00 pm,Mental Health,,Tucson,AZ,85712,http://lafronteraaz.org/,
La Frontera Center,15208849920,502 W 29th St,0,"M, T, W, Th, F ",8:00 am - 5:00 pm,Mental Health,,Tucson,AZ,85713,http://lafronteraaz.org/,
Lafrontera,15207412351,1210 E Pennsylvania St,0,"M, T, W, Th, F ",8:00 am - 5:00 pm,Mental Health,,Tucson,AZ,85714,http://lafronteraaz.org/,
La Frontera Center Inc,15208828422,1082 E Ajo Way #100,0,"M, T, W, Th, F ",8:00 am - 4:00 pm,Mental Health,,Tucson,AZ,85713,http://lafronteraaz.org/,
La Frontera Center,15208385610,410 S 6th Ave,0,,,Mental Health,,Tucson,AZ,85701,http://lafronteraaz.org/,
La Frontera Center,15205855408,260 S Scott Ave,0,"M, T, W, Th, F, Sat",M-F: 5:00 am - 12:00 pm; Sat: 6:00 am - 9:00 am,Mental Health,,Tucson,AZ,85701,http://lafronteraaz.org/,Rehab center
La Frontera Center Inc.,15208849920,504 W 29th St,0,,,Mental Health,,Tucson,AZ,85713,http://lafronteraaz.org/,
La Frontera Center,15207460260,1601 E Apache Park Pl,0,M-Sun,24 hrs,Mental Health,,Tucson,AZ,85714,http://lafronteraaz.org/,
La Frontera Center-Thornydale,15205798786,10845 N Thornydale Rd,0,,,Mental Health,,Tucson,AZ,85742,http://lafronteraaz.org/,
AZ Copper Card,8882278315,,1,,,Prescription Medication Assistance,,,,,,"Free, no age limits"
Care Mark Card,8773212652,,1,,,Prescription Medication Assistance,,,,,,"Free, no age limits"
Discount ($4) RX Plans,,,1,,,Prescription Medication Assistance,,,,,,"at various pharms and stores, e.g Walgreens, Walmart, Target, Frys"
Medical Assistance Tool ,,,1,,,Prescription Medication Assistance,,,,,https://medicineassistance.tool.org/,
Gospel Rescue Mission: Women's Recovery Center,15207401501,707 W Miracle Mile,0,M-Sun,10:00 am - 5:00 pm,Shelter,,Tucson,AZ,85705,https://www.grmtucson.com/,
Gospel Rescue Mission,15207401501,4550 S Palo Verde Rd,0,M-Sun,8:00 am - 4:30 am,Shelter,,Tucson,AZ,85714,https://www.grmtucson.com/,
Gospel Rescue Mission: Community Ministries,15207401501,338 W 28th St,0,Temporarily Closed,,Shelter,,Tucson,AZ,85713,https://www.grmtucson.com/,
Primavera Foundation - Homeless Intervention & Prevention Drop-In Center,15206235111,811 S 6th Ave,0,"M, W, Th, F ",9:00 am - 12:30 pm,Shelter,,Tucson,AZ,85701,http://www.primavera.org/,
Primavera Foundation - Administrative Offices,15208825383,151 W 40th St,0,M-F,8:00 am - 5:00 pm,Shelter,,Tucson,AZ,85713,http://www.primavera.org/,
Primavera Foundation - Men's Shelter,15206234300,200 E Benson Hwy,0,M-Sun,24hrs,Shelter,,Tucson,AZ,85713,http://www.primavera.org/,
Primavera Foundation - Project Action for Veterans,15203083093,3504 S 6th Ave Ste. 150,0,"M, T, Th, F",8:00 am -12:00 pm and 1:00 pm - 3:00 pm,Shelter,,Tucson,AZ,85713,http://www.primavera.org/,
Food Distribution Center - Primavera Foundation - Homeless Intervention & Prevention,15206235111,702 S 6th Ave,0,,,Shelter,,Tucson,AZ,85701,,Food bank
Our Family Services,15203231708,2590 N Alvernon Way,0,M-F,9:00 am - 5:00 pm,Shelter,,Tucson,AZ,85712,http://ourfamilyservices.org/,
Our Family Services,15203231708,3830 E Bellevue St,0,M-F,9:00 am - 5:00 pm,Shelter,,Tucson,AZ,85716,http://ourfamilyservices.org/,
The Salvation Army Hospitality House,15206225411,1002 N Main Ave,0,M-Sun,"M-F: 8:00 am - 4:30 pm; Sat, Sun: 24 hrs",Shelter,,Tucson,AZ,85705,http://www.salvationarmytucson.org/,
Alcoholics Anonymous,15206244183,840 S Campbell Ave,0,M-F,9:30 am - 4:30 pm,Substance Abuse,,Tucson,AZ,85719,,
Al-Anon,15203232229,1011 N Craycroft Rd # 450,0,,,Substance Abuse,,Tucson,AZ,85711,http://www.so-az-alanon.org/,
Arizona Smokers' Helpline,18005566222,2302 E Speedway Blvd #206,0,,,Substance Abuse,,Tucson,AZ,85719,http://ashline.org/,
Narcotics Anonymous,15208818381,,1,,,Substance Abuse,,,,,,
Pima County Community Action Agency,15207247700,2797 E Ajo Way,0,M-F,8:00 am - 5:00 pm,Utility Assistance,,Tucson,AZ,85713,http://webcms.pima.gov/,
Project PPEP,15206223553,802 E 46th St,0,,,Utility Assistance,,Tucson,AZ,85713,http://www.ppep.org/,
Salvation Army Utilities/Rent,15207921111,,1,,,Utility Assistance,,,,,,
TEP - Lifeline Discount Program,15206237711,,1,,,Utility Assistance,,,,,,
Youth On Their Own,15202931136,1660 N Alvernon Way,0,M,9:00 am - 5:00 pm,Young Adult Resources,,Tucson,AZ,85712,http://yoto.org/,
